Humidity,PM2.5,Precipitation,Temperature,Wind Speed
65.98,56.88,0.005,72.46,4.52
62.1,65.42,0.005,73.29,4.92
59.34,65.85,0,72.88,4.71
57,65.6,0,72.69,5.12
64.31,68,0,71.41,5.58
62.33,70.35,0,72.27,7.56
75.24,75.54,0.65,68.86,3.42
77.58,67.5,0.7,69.39,3.98
72.92,55.62,0.4,72.39,4.42
77.61,53.98,0,72.46,5.65
75.24,59.94,0.6,72.88,4.58
45.64,41.25,1.8,73.4,5.1
37.87,43.38,0,73.29,4.27
34.56,51.33,0,72.69,4.88
33.52,59.83,0,71.9,5.29
53.8,94.94,0,73.44,4.75
69.52,106.81,0.4,70.62,4.9
80.18,58.77,1.2,68,2.77
70.67,46.92,0.8,72.28,4.75
66.5,39.9,0.5,70.02,5.67
51.76,46.6,0.55,72.16,4.71
43.38,73.85,0.3,73.7,4.75
47.93,98.33,0,73.66,3.71
46,100.27,0,74.71,5.04
54.88,72.81,0,74.08,4.88
60.96,84.35,0,75.05,4.56
74.61,66.31,0.6,68.71,3.9
84.29,42.27,2.1,65.04,8.76
70.49,36.02,1.5,71.26,3.58
88.15,58.96,14.05,64.74,3.56
74.21,31.98,12.4,70.25,4.94
80.45,30.67,15.105,69.65,4.6
74.97,19.25,14.75,70.25,4.43
79.46,23.75,1.35,68.75,4.58
80.63,25.33,3.5,69.12,4.1
81.92,26.23,8.3,69.35,3.81
70.06,29.23,15.35,71.75,3.46
75.44,35.54,11.1,72.95,4.19
83.8,24.48,17.15,70.44,3.35
76.63,31.62,2.85,73.57,3.56
74.96,31.4,5.4,74.38,4.6
79.58,40.33,4.25,74.3,3.88
88.22,56.73,3.6,72.58,2.4
84.21,43.85,9.1,71.82,3.29
60.09,38.73,5.25,75.61,6.42
57.63,37.73,1,74.41,5.52
65.1,41.83,2.205,75.12,5.48
78.42,38.46,10.1,69.88,3.75
73.74,31.04,4.25,72.2,4.6
76.27,22.33,12.15,67.77,4.71
77.99,26.67,9.8,68.56,3.79
71.45,32.94,2,71.52,3.19
88.61,34.98,18.105,65.98,3.04
82.49,22.9,50.05,66.84,15.24
79.13,27.92,20.5,70.44,3.54
88.42,33.81,3.2,68.94,2.29
85.24,40.77,3.5,71.38,5.29
83.05,43.5,3.8,73.66,3.6
88.67,37.92,5.6,71.56,2.79
70.79,93.5,0,61.44,3.75
70.04,87.46,0,62.11,3.79
71.96,83.25,0,63.46,4.35
73.15,96.56,0,63.42,4.81
68.42,83.65,0,64.14,4.17
65.58,84.52,0,63.16,4.23
58.62,70.98,0,63.42,4.12
72.67,98.33,0.6,57.01,3.31
56.34,69.71,0,61.25,4.27
53.02,80.69,0,62.86,4.81
63.69,91.48,0,59.71,5.67
63.05,83.96,0,63.28,3.73
67.71,113.17,0.4,63.01,5.3
57.42,90.96,0,63.76,4.46
56.18,37.58,0,61.85,3.58
63.15,84.33,0,63.05,4.56
74.18,95.73,5.4,60.01,3.65
75.26,65.23,1.4,58.78,3.46
75.3,38.33,19.2,59.64,5.27
82.48,20.04,8.6,57.16,3.69
77.27,17.42,0.6,58.36,3.02
64.19,15.96,0,60.88,5.1
67.06,33.71,0,61.89,5.17
63.38,42.79,0,63.28,4.92
59.42,47.75,0,63.01,5.08
46.95,52.23,0,64.89,4.81
48.83,46.88,0,64.62,5.21
48.11,54.54,0,64.18,4.94
50.68,77.4,0,64.89,4.4
55.26,88.46,0,64.96,5.08
80.18,87.1,8.8,57.76,4.58
78.94,30.06,3.6,56.15,3.9
76.34,24.96,9.4,58.55,4.21
69.15,23.46,0,62.49,3.77
64.52,35.98,1,63.12,4.87
56.97,32.48,0,65.08,3.9
50.43,55.88,0,66.31,4.15
53.72,87.42,0,66.99,4.77
51.95,94.31,0,67.48,4.56
41.95,89.5,0,68.86,4.79
41.95,73.62,0,68.75,4.15
46.33,120.42,0,68.94,4.96
46.14,137.88,0,70.21,4.1
42.9,123.35,0,70.96,4.79
48.63,98.35,0,71.94,3.96
53.5,139.9,0,72.31,3.38
42.32,123.69,0,72.42,4.12
39.73,102.65,0,73.62,4.5
38.32,117.42,0,74.68,4.83
40.18,118.44,0,75.12,4.21
37.56,96.67,0,75.73,5.33
50.5,70.9,1.2,67.92,4.54
43.61,56.4,0,69.73,4.52
57.61,81,9,65.41,6.75
80.01,44.5,4,58.1,3.5
69.89,49.62,0,61.51,3.4
61.33,54.27,0,66.73,4.69
60.93,82.62,0,67.66,4.08
56.67,121.25,0.2,70.36,5.12
73.93,87.58,0.4,65.26,3.6
85.4,68.31,0.6,62.11,2.42
86.22,50.62,0.8,60.12,2.29
84.04,41.73,1,60.72,2
80.96,37.56,5.8,62.82,2.52
89.5,32.44,6.6,59.64,2.21
69.34,30.9,0,67.36,4.29
60.83,31.85,0,71.15,3.9
55.31,38.54,0,71.86,4.77
47.98,39.88,0,72.24,4.73
41.32,45.25,0,72.9,4.62
36.67,49.17,0,72.01,5.81
36.64,51.15,0,71.45,4.69
48.54,67.79,0,72.61,4.81
59.99,71.06,0,74.38,4.46
66.81,60.54,19,70.7,5.17
67.62,31.33,0.6,69.69,4.19
70.13,37.79,2.2,70.7,3.69
78.7,48.67,44,67.36,5.03
80.22,40.21,12.4,69.09,3.85
