PM2.5,Humidity,Precipitation,Temperature,Wind Speed
77.44,82.11,0.05,49.25,2.73
80.52,82.22,0,49.21,2.56
60.4,77.28,0,50.38,3.31
61.65,76.18,0,47.38,4.81
64.02,74.76,0.005,47.79,3.69
59.23,73.89,0,46.96,3.8
68.19,73.9,0,47.22,3.17
68.4,78.14,0,48.54,4.65
74.19,72.27,0,49.25,3.96
72.98,77.25,0,47.38,4.1
91.44,82.22,0,47.52,3.92
111.29,77.87,10.4,50.34,3.39
28.06,95.49,23.7,42.95,4.04
35.19,86.32,14.3,45.28,2.83
46.54,80.43,0,48.46,3.38
45.1,80.51,0,50.52,3.4
44.23,77.37,0,50.86,3.54
49.27,68.33,0,53.11,3.48
41.15,70.41,0.005,51.99,4.54
41.25,73.31,0,50.15,4.35
42.83,72.68,0,52.21,2.85
56.4,76.6,0,52.16,3.12
86.96,76.89,0,53.71,3.48
64.19,73.94,0,54.28,3.67
58.12,72.18,0,53.04,3.94
56.38,67.83,0,53.64,3.79
62.06,73.12,0,54.58,3.77
59.21,68.46,0,54.01,4.35
48.9,70.49,0.7,50.22,6.63
37.4,71.26,0.9,50.3,4.5
59.92,74.61,0,52.29,4.6
77.9,68.54,0.005,55.96,3.69
69.85,70.21,0,57.05,3.96
53.88,63.99,0,55.83,4.04
35.88,63.63,0.005,56.34,4.27
47.33,60.41,0,57.09,4.6
52.77,65.54,0,57.31,3.98
45.92,72.93,0,56.3,2.92
43.9,72.01,0,56.52,3
46.62,73.25,0,56.19,2.92
51.4,74.67,0,55.7,2.9
44.19,74.38,0,55.48,2.96
41.06,71.73,0,55.51,2.98
45.1,73.33,0,55.02,3.2
47.67,70.91,0,55.18,2.92
47.71,72.86,0,55.18,3.35
53.19,73.05,0,54.58,2.9
56.6,69.45,0,54.65,3.3
62.08,68.07,0,54.91,2.94
80.27,72.12,0,54.31,3.21
61.81,76.18,0,54.69,3.12
62.33,74.53,0,54.88,2.92
66.35,76.87,0,55.55,3.1
73.54,76.12,0,55.06,2.81
73.94,75.11,0,55.29,3.19
63.6,75.18,0,54.16,3.27
55.27,74.02,0,53.9,3.29
59.83,76.2,0,54.31,3.04
65.25,79.82,0,52.14,2.9
61.6,72.68,0,52.59,2.9
77.5,66.52,0,51.72,3
74.81,66.41,0,51.76,3.38
56.79,66.63,0,52.03,3.17
63.54,63.9,0,50.34,3.19
62.27,70.47,0,49.38,3.73
89.04,73.97,0,48.95,2.73
123.81,74.8,0,49.25,2.88
92.29,74.2,0,49.25,2.94
79.33,76.66,0,50.15,3
79.96,77.38,0,50.08,2.73
77.96,73.88,0,50.22,2.92
76.62,71.63,0,49.46,3.09
70.12,65.51,0,49.32,3.27
89.25,61.43,0,50.79,3.35
102.65,54.45,0,51.69,3.6
93.46,51.54,0,52.18,3.02
82.62,55.59,0,52.29,2.96
79.54,60.72,0,52.78,3.1
70.19,61.73,0,51.61,3.71
64.79,65.75,0,51.61,3.62
62.55,68.26,0,51.61,3.71
60.58,61.86,0,51.46,4.65
70.75,72.63,0,49.7,3.69
73.46,75.35,0,49.02,3.4
77.33,71.54,0,48.91,3.25
74.96,69.75,0,48.39,3.56
84.04,73.37,0,47.75,3.12
112.58,71.74,0,50.6,3.12
95.08,57.96,0,51.59,4.58
70.38,48.64,0,52.29,4.38
74.69,52.43,0,53.71,4.54
80,61.07,0,55.21,4.85
95.98,62.93,0,56.82,4.52
87.27,63.92,0,56.45,4.31
70.83,56.71,0,56.04,4.06
66.71,55.7,0,55.06,3.9
71.52,61.95,0,55.89,3.38
119.42,68.11,0,56.75,2.35
101.79,58.36,0,58.29,4.14
73.21,55.43,0,56.75,3.79
70.29,61.02,0,56.38,3.48
68.65,63.06,0,56.26,3.46
76.71,65.95,0,56.11,3.62
74.25,65.33,0,55.7,3.85
79.9,70.28,0,55.81,3.98
67.25,60.49,0,55.1,3.69
66.79,67.56,0,54.72,3.6
72.71,72.18,0,54.95,3.85
82.35,69.13,0,56.15,4.31
80.21,60.39,0,57.54,4.54
53.33,54.04,0,55.66,4.75
57.92,62.74,0,54.05,4.52
62.08,58.93,0,55.81,3.48
51.79,53.02,0,59.64,3.9
